"id","autor_id","comrcl_id","team_id","name","lastname","phone","email","gender","city","adress","brith_at","source","type_prospect","raison_sociale","code_post","gsm","assure","last_assure","motif_resil","motif_saise","creat_at"
"1","1",NULL,"2","liour","fourine","0615245885","liou@barir",NULL,"Lyon","Métropole de Lyon","2023-09-07 00:00:00","Propre site","Particuliers",NULL,"69123",NULL,"Non","Non",NULL,NULL,"2023-09-04 18:50:51"
"2","1",NULL,"1","Gage","Hartman","+1 (311) 211-5423","cafedoju@mailinator.com","0","Natus omnis atque ea","Voluptate provident","2003-02-26 00:00:00","Propre site","Professionnels",NULL,"15231","+1 (116) 697-6229","Non","Oui","1",NULL,"2023-09-04 19:53:42"
"3","1","7","1","Vivien","Witt","+1 (163) 815-3456","misowivi@mailinator.com","0","Dolor excepteur nihi","Non ut numquam nostr","2000-08-24 00:00:00","Saisie manuelle","Professionnels",NULL,"69845","+1 (545) 701-2986","Non","Non",NULL,"2","2023-09-04 20:56:42"
"4","1",NULL,"2","Tamekah","Schwartz","+1 (918) 458-9795","keqary@mailinator.com","0","Sed similique velit","Molestiae laudantium","1996-03-25 00:00:00","Revendeur","Professionnels",NULL,"25145","+1 (915) 466-4055","Non","Oui","2",NULL,"2023-09-04 21:27:49"
"5","1","5","1","Teagan","Randall","+1 (218) 115-4651","sirot@mailinator.com","1","Consequatur ipsa q","Excepturi quia volup","1978-02-20 00:00:00","Propre site","Professionnels",NULL,"23516","+1 (918) 787-1711","Non","Non",NULL,NULL,"2023-09-05 17:17:32"
"6","1","5","1","Isaac","Donaldson","+1 (933) 373-8658","cihy@mailinator.com","0","Quidem molestiae nul","Lorem ea laborum Ve","1973-04-03 00:00:00","Propre site","Particuliers",NULL,"49452","+1 (416) 811-1982","Non","Oui","2",NULL,"2023-09-05 18:50:14"
"7","1","6","2","Grace","Robertson","+1 (659) 563-7386","qale@mailinator.com","0","Quis tempora quae vo","Est cumque praesenti","1970-04-16 00:00:00","Saisie manuelle","Particuliers",NULL,"14100","+1 (543) 627-7988","Non","Non",NULL,"1","2023-09-05 19:51:34"
"8","1","4","1","Andrew","Whitney","+1 (717) 822-7353","fatyxunav@mailinator.com","0","Expedita unde ex per","Minus et quia quisqu","2023-02-16 00:00:00","Propre site","Professionnels",NULL,"54526","+1 (368) 728-7299","Oui","Non",NULL,NULL,"2023-09-06 18:39:35"
"9","1",NULL,"2","Emma","Sanders","+1 (151) 119-9852","jabosaroqo@mailinator.com","0","Dolore aliqua Nihil","Ut rem voluptas nost","2008-04-26 00:00:00","Revendeur","Particuliers",NULL,"21158","+1 (468) 198-8813","Oui","Oui","2",NULL,"2023-09-07 11:39:41"
"10","1",NULL,"2","hamid","hamdawoui","0611241521","hamid@gmail.com","1","sale","safe 2 route rabat n","1980-05-01 00:00:00","Propre site","Particuliers",NULL,"14859",NULL,"Oui","Oui","1",NULL,"2023-09-11 14:26:51"
